Business Name,Asking Price ($),Annual Revenue ($),Industry,Location,Description,Key Highlights,URL,Scraped Date
Established Medical Equipment Distributor,2800000,1900000,Healthcare,"Atlanta, Georgia",Established medical equipment distribution company serving hospitals and clinics across the Southeast. 15-year history with exclusive agreements and trained workforce.,"Exclusive Agreements, 15 Year History, Medical Equipment",https://www.bizbuysell.com/business-for-sale/medical-equipment-distributor-atlanta-ga/123456,2025-06-25
Fast Casual Mexican Restaurant Chain,1650000,1200000,Food & Beverage,"Denver, Colorado",Three-location fast-casual Mexican restaurant chain with strong local following. Proven operating systems and growth opportunities.,"Three Locations, Proven Systems, Growth Opportunities",https://www.bizbuysell.com/business-for-sale/mexican-restaurant-chain-denver-co/123457,2025-06-25
Custom Metal Fabrication Shop,4500000,2400000,Manufacturing,"Columbus, Ohio","Custom metal fabrication shop with aerospace and automotive clients. Includes all equipment, trained workforce, and 20+ years of operation.","Aerospace Clients, Trained Workforce, 20+ Years",https://www.bizbuysell.com/business-for-sale/metal-fabrication-columbus-oh/123458,2025-06-25
Growing Analytics Platform,5300000,1800000,SaaS,"Phoenix, Arizona","Established analytics platform with strong market presence and loyal customer base. Includes all technology, premium market position.","Exclusive Territory, Long-term Contracts, Premium Market",https://www.bizbuysell.com/business-for-sale/analytics-platform-phoenix-az/123459,2025-06-25
Engineering Consultancy,775000,600000,Professional Services,"Tampa, Florida",Successful consultancy operation with 11 years of proven track record. Modern systems and established client relationships.,"Profitable, Established, Growing",https://www.bizbuysell.com/business-for-sale/engineering-consultancy-tampa-fl/123460,2025-06-25
Award-Winning Pizza Restaurant,1700000,750000,Food & Beverage,"Boston, Massachusetts",Well-performing hospitality business specializing in pizza. Consistent revenue growth and excellent reputation in local market.,"Award-Winning, Consistent Growth, Local Reputation",https://www.bizbuysell.com/business-for-sale/pizza-restaurant-boston-ma/123461,2025-06-25
Accounting Practice,300000,200000,Professional Services,"Austin, Texas",Premium accounting clinic with excellent growth potential. Located in high-traffic area with strong local presence.,"Growing, Premium Location, Strong Local Presence",https://www.bizbuysell.com/business-for-sale/accounting-practice-austin-tx/123462,2025-06-25
Craft Brewery & Restaurant,2050000,1800000,Food & Beverage,"Portland, Oregon",Successful brewery operation with 6 years of proven track record. Modern systems and established customer base.,"Award-Winning, 6 Years Operating, Modern Systems",https://www.bizbuysell.com/business-for-sale/craft-brewery-portland-or/123463,2025-06-25
Artisan Coffee Roastery,320000,180000,Food & Beverage,"Seattle, Washington",Boutique coffee roastery with wholesale and retail operations. Established brand and loyal customer following.,"Established Brand, Wholesale & Retail, Loyal Customers",https://www.bizbuysell.com/business-for-sale/coffee-roastery-seattle-wa/123464,2025-06-25
Automotive Service Centers,1350000,950000,Automotive,"Las Vegas, Nevada",Multi-location automotive service business with strong reputation and recurring customer base.,"Multi-Location, Strong Reputation, Recurring Revenue",https://www.bizbuysell.com/business-for-sale/auto-service-las-vegas-nv/123465,2025-06-25
Manufacturing Equipment Supplier,4200000,2100000,Manufacturing,"Houston, Texas",Industrial equipment supply company serving oil & gas and manufacturing sectors. Established relationships and inventory.,"Oil & Gas Clients, Established Relationships, Large Inventory",https://www.bizbuysell.com/business-for-sale/equipment-supplier-houston-tx/123466,2025-06-25
Local Restaurant Chain,875000,650000,Food & Beverage,"San Diego, California",Regional restaurant chain with two profitable locations. Strong local brand recognition and growth opportunities.,"Two Locations, Strong Brand, Growth Opportunities",https://www.bizbuysell.com/business-for-sale/restaurant-chain-san-diego-ca/123467,2025-06-25
